x,y
23.20000005,411.6000061
23.20001674,421.598938
23.20001626,431.5978394
23.20001578,441.5967712
23.20001531,451.5957031
23.20001507,461.594635
23.20001459,471.5935669
23.20001411,481.5924683
23.20001364,491.5914001
23.20001316,501.590332
23.20001268,511.5892639
23.20001245,521.5881958
23.20001197,531.5870972
23.20001149,541.5860596
23.20001101,551.5849609
23.20001054,561.5838623
23.20001006,571.5827637
23.20000982,581.5817261
23.20000935,591.5806885
23.20000887,601.5795898
23.20000839,611.5784912
23.20000792,621.5773926
23.20000744,631.576355
23.2000072,641.5752563
23.20000672,651.5742188
23.20000625,661.5731201
23.20000577,671.5720215
23.20000529,681.5709839
23.20000482,691.5698853
23.20000458,701.5688477
23.2000041,711.567749
23.20000362,721.5666504
23.20000315,731.5655518
23.20000267,741.5645142
23.20000219,751.5634766
23.20000196,761.5623779
23.20000148,771.5612793
23.200001,781.5601807
23.20000052,791.5591431
23.20000005,801.5581055
31.55700684,803.2000122
41.5559082,803.2000122
51.55484009,803.2000122
61.55377197,803.2000122
71.55270386,803.2000122
81.55160522,803.2000122
91.55053711,803.2000122
101.549469,803.2000122
111.5484009,803.2000122
121.5473022,803.2000122
131.5462341,803.2000122
141.545166,803.2000122
151.5440979,803.2000122
161.5429993,803.2000122
171.5419617,803.2000122
181.540863,803.2000122
191.5397644,803.2000122
201.5387268,803.2000122
211.5376282,803.2000122
221.5365906,803.2000122
231.5354919,803.2000122
241.5343933,803.2000122
251.5333557,803.2000122
261.5322571,803.2000122
271.5311584,803.2000122
281.5301208,803.2000122
291.5290222,803.2000122
301.5279846,803.2000122
311.526886,803.2000122
321.5257874,803.2000122
331.5247498,803.2000122
341.5236511,803.2000122
351.5226135,803.2000122
361.5215149,803.2000122
371.5204163,803.2000122
381.5193787,803.2000122
391.51828,803.2000122
401.5171814,803.2000122
411.5161438,803.2000122
421.5150146,803.2000122
431.5139771,803.2000122
441.5128784,803.2000122
451.5117798,803.2000122
461.5107422,803.2000122
471.5096436,803.2000122
481.5085449,803.2000122
491.5075073,803.2000122
501.5064087,803.2000122
511.5053711,803.2000122
521.5042725,803.2000122
531.5031738,803.2000122
541.5021362,803.2000122
551.5010376,803.2000122
561.5,803.2000122
571.4989014,803.2000122
581.4978027,803.2000122
591.4967651,803.2000122
601.4956665,803.2000122
611.4945679,803.2000122
621.4935303,803.2000122
631.4924316,803.2000122
641.491394,803.2000122
651.4902954,803.2000122
661.4892578,803.2000122
671.4881592,803.2000122
681.4870605,803.2000122
691.4859619,803.2000122
701.4848633,803.2000122
711.4838867,803.2000122
721.4827881,803.2000122
731.4816895,803.2000122
741.4805908,803.2000122
751.4794922,803.2000122
761.4785156,803.2000122
771.477417,803.2000122
781.4763184,803.2000122
791.4752197,803.2000122
801.4741211,803.2000122
811.4731445,803.2000122
817.5999756,799.3279419
817.5999756,789.3290405
817.5999756,779.3301392
817.5999756,769.3312378
817.6025391,759.3323364
817.612793,749.333374
817.6568604,739.3345337
817.8070679,729.3369751
819.0541992,719.5534668
819.3626709,709.5596924
819.5344849,699.5620728
819.6577759,689.5639038
819.7564087,679.5656128
819.8375244,669.5670166
819.9053955,659.5683594
819.9606934,649.569397
820.0079346,639.5707397
820.0484619,629.5718384
820.0829468,619.572998
820.1091309,609.5742188
820.1309204,599.5751953
820.1486206,589.5762939
820.1593018,579.5773926
820.1660767,569.5785522
820.1693726,559.5795898
820.1658325,549.5805664
820.1585693,539.581665
820.1478271,529.5827942
820.1297607,519.5839233
820.1075439,509.5849915
820.0808716,499.5861511
820.0464478,489.5871887
820.0054932,479.5884399
819.9577637,469.5896606
819.9020386,459.5908813
819.8344727,449.5921936
819.7530518,439.5935669
819.6542358,429.5951233
819.5308228,419.5969238
819.359314,409.5994568
819.055542,399.6055908
818.1418457,389.6901855
817.9437256,379.6932678
817.8407593,369.6949768
817.7781982,359.6962585
817.7325439,349.6974487
817.6984253,339.6985779
817.675293,329.699707
817.6567383,319.7007446
817.6419067,309.7018433
817.6331177,299.7030334
817.6261597,289.7041321
817.6192017,279.7051086
817.6123047,269.7062073
817.6074829,259.7072601
817.6060791,249.7083588
817.6046143,239.7094574
817.6031494,229.710434
817.6016846,219.7115326
817.6002197,209.7126312
817.5999756,199.7137451
817.5999756,189.7148438
817.5999756,179.7158203
817.5999756,169.7169189
817.5999756,159.7180176
817.5999756,149.7191162
817.5999756,139.7202148
817.5999756,129.7211914
817.5999756,119.72229
817.5999756,109.7233887
817.5999756,99.7244873
817.5999756,89.72558594
817.5999756,79.72668457
817.5999756,69.72766113
817.5999756,59.72875977
817.5999756,49.7298584
817.5999756,39.73095703
817.5999756,29.73205566
817.3330078,19.99994006
807.3341064,19.99994157
797.3352051,19.99994308
787.3363037,19.99994459
777.3374023,19.9999461
767.3383789,19.99994761
757.3394775,19.99994912
747.3405762,19.99995063
737.3416748,19.99995214
727.3426514,19.99995365
717.3438721,19.99995516
707.3448486,19.99995667
697.3460693,19.99995818
687.3470459,19.99995969
677.3480225,19.9999612
667.3492432,19.99996271
657.3502197,19.99996422
647.3514404,19.99996573
637.352417,19.99996724
627.3533936,19.99996875
617.3546143,19.99997026
607.3555908,19.99997177
597.3568115,19.99997328
587.3577881,19.99997479
577.3587646,19.9999763
567.3599854,19.99997781
557.3609619,19.99997932
547.3621826,19.99998083
537.3631592,19.99998234
527.3641052,19.99998385
517.3653259,19.99998536
507.3663025,19.99998687
497.3675232,19.99998838
487.3684998,19.99998989
477.3694763,19.9999914
467.370697,19.99999291
457.3716736,19.99999442
447.3728943,19.99999593
437.3738708,19.99999744
427.3748474,19.99999895
417.3760376,19.99994048
407.3770142,19.99994199
397.3782349,19.9999435
387.3792114,19.99994501
377.380188,19.99994652
367.3814087,19.99994803
357.3823853,19.99994954
347.383606,19.99995105
337.3845825,19.99995256
327.3858032,19.99995407
317.3867798,19.99995558
307.3877563,19.99995709
297.3889771,19.9999586
287.3899536,19.99996011
277.3911743,19.99996162
267.3921356,19.99996313
257.3931122,19.99996464
247.3943329,19.99996615
237.3953094,19.99996766
227.3965302,19.99996917
217.3975067,19.99997068
207.3984833,19.99997219
197.399704,19.9999737
187.4006805,19.99997521
177.4019012,19.99997672
167.4028778,19.99997823
157.4038544,19.99997974
147.4050751,19.99998125
137.4060516,19.99998276
127.4072723,19.99998427
117.4082489,19.99998577
107.4092255,19.99998728
97.41044617,19.99998879
87.41142273,19.9999903
77.41264725,19.99999181
67.41362381,19.99999332
57.41460037,19.99999483
47.41582108,19.99999634
37.41679764,19.99999785
27.41801739,19.99999936
23.20001698,25.78091431
23.2000165,35.77993774
23.20001602,45.77871704
23.20001554,55.77774048
23.20001507,65.77651978
23.20001483,75.77554321
23.20001435,85.77456665
23.20001388,95.77334595
23.2000134,105.7723694
23.20001292,115.7711487
23.20001245,125.7701721
23.20001221,135.7691956
23.20001173,145.7679749
23.20001125,155.7669983
23.20001078,165.7657776
23.2000103,175.764801
23.20000982,185.7635803
23.20000958,195.7626038
23.20000911,205.7616272
23.20000863,215.7604065
23.20000815,225.7594299
23.20000768,235.7582092
23.2000072,245.7572327
23.20000696,255.7562561
23.20000648,265.7550354
23.20000601,275.7540588
23.20000553,285.7528381
23.20000505,295.7518616
23.20000458,305.750885
23.20000434,315.7496643
23.20000386,325.7486877
23.20000339,335.747467
23.20000291,345.7464905
23.20000243,355.7455139
23.20000196,365.7442932
23.20000172,375.7433167
23.20000124,385.7420959
23.20000076,395.7411194
23.20000029,405.7401428
627.0305176,147.5484772
633.7374878,150.7011414
634.4900513,160.6682587
630.2661133,164.9415588
624.1494751,157.0442352
616.1459961,151.1562653
606.4827881,150.5301514
602.559021,159.0986633
609.4962769,165.5432892
618.944519,168.8063049
628.1746216,172.6087341
635.5858154,179.1640625
638.3412476,188.6574097
637.218811,198.5387726
631.8434448,206.8199615
623.0071411,211.3116302
613.1063232,212.4920044
603.1525879,211.6587982
593.9906006,212.619812
590.5687256,204.9565582
590.4793091,194.9614563
594.5647583,190.839859
600.1399536,199.131012
607.5670776,205.735611
617.1677856,207.9541016
625.6651611,203.4598083
623.90448,194.4192047
615.0571899,189.901825
605.5663452,186.7651978
597.0908813,181.5525055
591.4069824,173.4390259
590.3605347,163.6088409
594.2561035,154.5111389
601.9098511,148.2133331
611.5081177,145.6465073
621.4385986,146.451416
683.2915039,147.4922867
687.8879395,153.2816772
688.0853882,163.2727509
682.9093018,162.9113312
676.711731,155.087326
668.6879883,150.3999939
658.9650269,152.0918579
657.039978,160.6420898
665.1715698,166.1678467
674.6777344,169.2680511
683.7652588,173.3507538
690.4076538,180.6990662
692.5975952,190.3411407
690.3771973,200.0307159
684.3208008,207.8497314
675.2351685,211.8249817
665.2874146,212.5244751
655.3712769,211.3076477
646.0910645,212.0734558
644.7751465,202.2613525
644.940918,192.2687225
650.0592041,193.5144958
656.4237061,201.2036438
664.3329468,207.1783447
674.1130371,207.8319397
679.9849243,200.5350494
675.3398438,192.413208
666.0313721,188.8075867
656.6243286,185.4615326
648.7808228,179.3955078
645.0318604,170.257309
645.8294067,160.379776
651.0847168,151.9774628
659.4118042,146.576355
669.2233276,145.1500854
176.2926483,150.3955383
169.9375763,155.6546478
169.6206665,165.6459351
169.6094513,175.6446228
169.6135101,185.6437225
169.6603546,195.6422119
170.3617249,205.5999451
178.8834991,206.0908813
186.3694763,199.6228943
191.8053589,191.2376862
196.3051605,193.8761444
195.5145874,203.8414917
191.5844879,211.5511322
181.5995026,212.0318146
171.6012268,212.1255341
161.6032104,212.0097351
151.6122742,211.6220856
146.8469086,208.0879364
150.0506592,200.7937622
150.125061,190.7950134
150.1994781,180.7965088
150.27388,170.7979736
150.3482971,160.7992249
150.0637207,151.0926208
148.1535187,146.7607956
158.1331177,146.273941
168.1244202,146.6024628
178.0180206,147.9199066
224,152.5520477
224,162.5510712
224,172.5500946
224,182.5488281
224,192.5478516
224,202.546875
228.3234253,208.7930145
220.5774078,212.030426
210.5823059,211.9269104
200.6748657,210.7263641
204,204.7133789
204,194.7143555
204,184.715332
204,174.7168884
204,164.717865
204,154.7188416
199.3034821,148.5379333
208.3110809,146.3323669
218.3079681,146.3308258
228.18396,147.5124588
288.8145142,158.6161652
289.1329956,168.6101074
283.8013611,166.6416321
280.1289978,157.3442688
272.8056641,151.0669098
270.4921875,159.0351257
270.4113007,169.0340729
270.4000244,179.0329437
270.3999939,189.03125
270.3999939,199.0302734
271.4295349,208
276.755188,211.3197632
266.7991943,212.0715332
256.8028564,211.9289856
246.8421021,211.1127625
249.0670471,208.0044556
250.3999939,199.2453156
250.3999939,189.2462921
250.3999939,179.247757
250.3810272,169.2489166
250.315094,159.2500458
248.9653473,150.517807
241.6587219,156.960434
237.5456696,166.0554352
232.7684326,167.5390167
232.2737274,157.5604706
233.5103455,147.7115097
243.2812805,146.5344162
253.2795715,146.5360947
263.2782593,146.6076965
273.2769623,146.6871262
283.2756653,146.7665558
350.0804443,151.1468506
350.5242004,161.12854
349.2041931,170.9080963
344.1836548,163.577774
339.4425964,154.7936249
332.66745,153.5052338
332.3329773,163.4960632
332.2357483,173.494812
332.1595459,183.4936218
332.0860291,193.4923859
332.0124817,203.4911346
337.5314331,208.4349518
331.7899475,211.5636139
321.7908325,211.6000061
311.7918091,211.6000061
305.2307434,208.3290405
312,204.8164063
312,194.8173828
312,184.8183594
312,174.8193512
312,164.8203278
312,154.8217926
306.9952698,152.4003143
301.1996765,160.4157104
297.2617798,169.5967865
293.5403442,164.8199615
293.9972534,154.8328705
296.6908264,146.4000015
306.6898499,146.4000015
316.6888733,146.4000015
326.6874084,146.404213
336.6863708,146.4566574
346.6735229,146.8571777
383.2389832,150.5110626
379.2000122,156.6116333
379.2000122,166.6101685
379.2000122,176.6091919
379.2000122,186.6082916
379.2000122,196.6073151
379.2000122,206.6063385
387.3718567,206.3580627
394.9870605,200.0718994
400.2974243,191.6080017
404.9512939,193.5877991
404.3294067,203.5654907
400.6653748,211.4583588
390.6847229,212.0162811
380.6867371,212.1512146
370.6886292,212.0631714
360.6966858,211.6974487
355.1038208,208.1504669
358.3999939,201.3097992
358.3999939,191.3107758
358.3999939,181.3117523
358.3915405,171.3127441
358.3271484,161.3145752
357.8158875,151.3389282
357.6181946,146.8263245
367.5977173,146.264389
377.5953979,146.3191071
387.5180969,147.3362656
457.1483154,156.7165222
455.401062,166.2537079
449.7289429,158.5076599
442.2745972,152.1809082
433.2010498,152.4555359
432.798584,162.4268036
432.7999878,172.4257813
438.9730835,174.8322449
444.664978,166.7205048
447.5831299,172.6500092
447.9789124,182.6400146
447.52771,192.6102905
441.992981,186.6551056
434.3341064,180.8003998
432.8073425,190.0822601
432.7930908,200.0809631
435.9996948,207.8529663
445.4381409,204.651535
452.6562195,197.8839722
458.0567932,191.3424225
459.6845703,201.1166687
458.5774231,211.0327301
449.3602295,212
439.3612061,212
429.362854,211.9961243
419.3638916,211.9342804
409.387207,211.4107513
412.7999878,207.055954
412.7999878,197.0569305
412.7999878,187.0583954
412.7999878,177.0591736
412.7999878,167.0601501
412.7999878,157.0611267
409.4645386,150.3415527
413.7128906,146.7361221
423.7041626,146.3627625
433.7023926,146.2771301
443.7005005,146.4110031
453.6813049,146.9651413
508.7756653,154.740509
511.3387451,164.4045868
513.6855469,174.1243591
516.2145691,183.7973938
519.3370361,181.9131927
521.5635071,172.1659546
523.8013611,162.4206696
525.992218,152.6658783
532.2718506,146.575592
542.2670288,146.4019012
552.2283325,146.9355392
548.7999878,152.6420898
548.7999878,162.6411133
548.7999878,172.6401367
548.7999878,182.6386261
548.7999878,192.6376495
548.7999878,202.636673
553.0949707,209.2949982
